"spcdist" "p_value"
"5199" -4802 0.904
"5200" -4801 0.996
"5201" -4800 0.961
"5202" -4799 0.928
"5203" -4798 0.95
"5204" -4797 0.995
"5205" -4796 0.992
"5206" -4795 0.991
"5207" -4794 1
"5208" -4793 0.964
"5209" -4792 0.995
"5210" -4791 1
"5211" -4790 0.968
"5212" -4789 0.997
"5213" -4788 0.997
"5214" -4787 0.992
"5215" -4786 0.946
"5216" -4785 1
"5217" -4784 1
"5218" -4783 0.969
"5219" -4782 0.994
"5220" -4781 1
"5221" -4780 0.789
"5222" -4779 0.989
"5223" -4778 1
"5224" -4777 0.958
"5225" -4776 0.998
"5226" -4775 1
"5227" -4774 0.912
"5228" -4773 0.877
"5229" -4772 0.987
"5230" -4771 1
"5231" -4770 0.975
"5232" -4769 0.998
"5233" -4768 0.999
"5234" -4767 0.992
"5235" -4766 0.999
"5236" -4765 0.976
"5237" -4764 0.983
"5238" -4763 0.765
"5239" -4762 0.949
"5240" -4761 0.964
"5241" -4760 0.999
"5242" -4759 1
"5243" -4758 1
"5244" -4757 0.993
"5245" -4756 0.979
"5246" -4755 0.926
"5247" -4754 0.73
"5248" -4753 0.871
"5249" -4752 0.961
"5250" -4751 0.943
"5251" -4750 0.915
"5252" -4749 1
"5253" -4748 0.78
"5254" -4747 1
"5255" -4746 0.927
"5256" -4745 0.952
"5257" -4744 0.984
"5258" -4743 0.974
"5259" -4742 0.99
"5260" -4741 0.999
"5261" -4740 0.895
"5262" -4739 0.899
"5263" -4738 0.991
"5264" -4737 0.963
"5265" -4736 0.996
"5266" -4735 0.999
"5267" -4734 0.933
"5268" -4733 0.973
"5269" -4732 0.985
"5270" -4731 0.965
"5271" -4730 0.963
"5272" -4729 0.98
"5273" -4728 0.947
"5274" -4727 0.637
"5275" -4726 1
"5276" -4725 0.887
"5277" -4724 0.992
"5278" -4723 0.987
"5279" -4722 0.985
"5280" -4721 0.999
"5281" -4720 0.819
"5282" -4719 1
"5283" -4718 0.963
"5284" -4717 0.96
"5285" -4716 0.997
"5286" -4715 1
"5287" -4714 0.983
"5288" -4713 0.998
"5289" -4712 0.979
"5290" -4711 0.998
"5291" -4710 1
"5292" -4709 0.975
"5293" -4708 0.932
"5294" -4707 0.973
"5295" -4706 0.998
"5296" -4705 0.815
"5297" -4704 1
"5298" -4703 0.953
"5299" -4702 0.982
"5300" -4701 0.899
"5301" -4700 0.976
"5302" -4699 0.991
"5303" -4698 0.996
"5304" -4697 0.998
"5305" -4696 0.893
"5306" -4695 0.436
"5307" -4694 0.904
"5308" -4693 1
"5309" -4692 0.991
"5310" -4691 1
"5311" -4690 0.899
"5312" -4689 0.997
"5313" -4688 0.997
"5314" -4687 0.916
"5315" -4686 0.694
"5316" -4685 0.986
"5317" -4684 0.999
"5318" -4683 0.876
"5319" -4682 0.954
"5320" -4681 1
"5321" -4680 0.99
"5322" -4679 0.973
"5323" -4678 0.83
"5324" -4677 0.978
"5325" -4676 0.987
"5326" -4675 0.8
"5327" -4674 0.967
"5328" -4673 0.998
"5329" -4672 0.996
"5330" -4671 0.663
"5331" -4670 0.969
"5332" -4669 0.848
"5333" -4668 0.869
"5334" -4667 0.965
"5335" -4666 1
"5336" -4665 0.98
"5337" -4664 0.985
"5338" -4663 0.619
"5339" -4662 0.765
"5340" -4661 0.829
"5341" -4660 0.989
"5342" -4659 0.995
"5343" -4658 0.953
"5344" -4657 0.82
"5345" -4656 0.971
"5346" -4655 0.999
"5347" -4654 0.946
"5348" -4653 0.914
"5349" -4652 0.944
"5350" -4651 0.975
"5351" -4650 0.997
"5352" -4649 0.966
"5353" -4648 0.857
"5354" -4647 0.911
"5355" -4646 0.995
"5356" -4645 0.987
"5357" -4644 0.984
"5358" -4643 0.975
"5359" -4642 0.915
"5360" -4641 0.986
"5361" -4640 0.993
"5362" -4639 0.88
"5363" -4638 0.697
"5364" -4637 0.973
"5365" -4636 0.873
"5366" -4635 0.997
"5367" -4634 0.997
"5368" -4633 0.99
"5369" -4632 0.94
"5370" -4631 0.983
"5371" -4630 0.965
"5372" -4629 1
"5373" -4628 1
"5374" -4627 0.991
"5375" -4626 0.999
"5376" -4625 0.875
"5377" -4624 0.997
"5378" -4623 0.991
"5379" -4622 0.994
"5380" -4621 0.988
"5381" -4620 0.814
"5382" -4619 0.942
"5383" -4618 0.904
"5384" -4617 1
"5385" -4616 0.978
"5386" -4615 0.358
"5387" -4614 0.936
"5388" -4613 0.984
"5389" -4612 0.991
"5390" -4611 0.946
"5391" -4610 0.942
"5392" -4609 0.999
"5393" -4608 0.997
"5394" -4607 0.995
"5395" -4606 0.851
"5396" -4605 1
"5397" -4604 0.996
"5398" -4603 0.905
"5399" -4602 0.945
"5400" -4601 0.984
"5401" -4600 0.993
"5402" -4599 1
"5403" -4598 0.516
"5404" -4597 0.999
"5405" -4596 0.982
"5406" -4595 0.813
"5407" -4594 0.972
"5408" -4593 1
"5409" -4592 0.947
"5410" -4591 1
"5411" -4590 0.998
"5412" -4589 0.948
"5413" -4588 0.979
"5414" -4587 1
"5415" -4586 0.991
"5416" -4585 0.633
"5417" -4584 0.995
"5418" -4583 0.914
"5419" -4582 0.97
"5420" -4581 0.998
"5421" -4580 0.978
"5422" -4579 0.925
"5423" -4578 0.998
"5424" -4577 0.983
"5425" -4576 0.997
"5426" -4575 1
"5427" -4574 0.999
"5428" -4573 0.999
"5429" -4572 0.955
"5430" -4571 0.998
"5431" -4570 0.829
"5432" -4569 0.96
"5433" -4568 1
"5434" -4567 0.995
"5435" -4566 0.818
"5436" -4565 0.58
"5437" -4564 0.997
"5438" -4563 0.999
"5439" -4562 0.998
"5440" -4561 0.981
"5441" -4560 0.986
"5442" -4559 0.995
"5443" -4558 0.727
"5444" -4557 0.941
"5445" -4556 0.996
"5446" -4555 0.871
"5447" -4554 0.997
"5448" -4553 0.727
"5449" -4552 0.989
"5450" -4551 0.986
"5451" -4550 0.894
"5452" -4549 0.996
"5453" -4548 0.965
"5454" -4547 0.965
"5455" -4546 0.865
"5456" -4545 1
"5457" -4544 0.994
"5458" -4543 0.802
"5459" -4542 0.962
"5460" -4541 1
"5461" -4540 0.995
"5462" -4539 0.996
"5463" -4538 0.851
"5464" -4537 0.995
"5465" -4536 0.972
"5466" -4535 0.982
"5467" -4534 0.989
"5468" -4533 0.999
"5469" -4532 1
"5470" -4531 0.98
"5471" -4530 0.989
"5472" -4529 0.96
"5473" -4528 0.961
"5474" -4527 0.688
"5475" -4526 0.988
"5476" -4525 1
"5477" -4524 0.99
"5478" -4523 0.997
"5479" -4522 0.997
"5480" -4521 0.957
"5481" -4520 0.687
"5482" -4519 0.894
"5483" -4518 0.975
"5484" -4517 0.965
"5485" -4516 0.887
"5486" -4515 0.834
"5487" -4514 0.992
"5488" -4513 0.994
"5489" -4512 0.676
"5490" -4511 0.803
"5491" -4510 0.968
"5492" -4509 0.956
"5493" -4508 0.991
"5494" -4507 0.998
"5495" -4506 0.994
"5496" -4505 0.991
"5497" -4504 0.992
"5498" -4503 0.989
"5499" -4502 0.892
"5500" -4501 0.824
"5501" -4500 0.997
"5502" -4499 0.987
"5503" -4498 0.997
"5504" -4497 0.995
"5505" -4496 0.994
"5506" -4495 0.994
"5507" -4494 0.968
"5508" -4493 0.989
"5509" -4492 0.963
"5510" -4491 0.996
"5511" -4490 0.858
"5512" -4489 1
"5513" -4488 1
"5514" -4487 1
"5515" -4486 0.999
"5516" -4485 0.975
"5517" -4484 0.83
"5518" -4483 0.991
"5519" -4482 1
"5520" -4481 0.912
"5521" -4480 1
"5522" -4479 0.955
"5523" -4478 0.998
"5524" -4477 0.895
"5525" -4476 0.997
"5526" -4475 0.917
"5527" -4474 0.998
"5528" -4473 0.938
"5529" -4472 1
"5530" -4471 0.995
"5531" -4470 0.994
"5532" -4469 0.891
"5533" -4468 0.994
"5534" -4467 0.998
"5535" -4466 0.999
"5536" -4465 1
"5537" -4464 0.972
"5538" -4463 0.961
"5539" -4462 0.996
"5540" -4461 0.938
"5541" -4460 0.73
"5542" -4459 0.968
"5543" -4458 0.999
"5544" -4457 0.806
"5545" -4456 0.912
"5546" -4455 0.985
"5547" -4454 0.844
"5548" -4453 0.996
"5549" -4452 0.98
"5550" -4451 0.999
"5551" -4450 0.999
"5552" -4449 0.945
"5553" -4448 0.961
"5554" -4447 0.88
"5555" -4446 0.952
"5556" -4445 0.949
"5557" -4444 0.998
"5558" -4443 0.807
"5559" -4442 0.985
"5560" -4441 0.891
"5561" -4440 0.989
"5562" -4439 0.932
"5563" -4438 0.872
"5564" -4437 0.991
"5565" -4436 0.827
"5566" -4435 1
"5567" -4434 1
"5568" -4433 0.959
"5569" -4432 0.936
"5570" -4431 0.998
"5571" -4430 0.999
"5572" -4429 0.795
"5573" -4428 0.992
"5574" -4427 0.771
"5575" -4426 0.89
"5576" -4425 0.915
"5577" -4424 0.803
"5578" -4423 1
"5579" -4422 0.999
"5580" -4421 0.982
"5581" -4420 0.998
"5582" -4419 0.976
"5583" -4418 1
"5584" -4417 1
"5585" -4416 0.919
"5586" -4415 0.973
"5587" -4414 0.737
"5588" -4413 0.963
"5589" -4412 0.997
"5590" -4411 0.959
"5591" -4410 0.96
"5592" -4409 0.894
"5593" -4408 0.992
"5594" -4407 0.916
"5595" -4406 0.922
"5596" -4405 0.843
"5597" -4404 1
"5598" -4403 0.996
"5599" -4402 1
"5600" -4401 0.997
"5601" -4400 1
"5602" -4399 0.977
"5603" -4398 0.982
"5604" -4397 1
"5605" -4396 0.873
"5606" -4395 0.989
"5607" -4394 0.998
"5608" -4393 1
"5609" -4392 0.999
"5610" -4391 0.932
"5611" -4390 0.947
"5612" -4389 0.874
"5613" -4388 0.879
"5614" -4387 1
"5615" -4386 0.973
"5616" -4385 0.893
"5617" -4384 0.924
"5618" -4383 0.98
"5619" -4382 1
"5620" -4381 0.896
"5621" -4380 0.998
"5622" -4379 0.997
"5623" -4378 0.995
"5624" -4377 0.722
"5625" -4376 0.889
"5626" -4375 0.928
"5627" -4374 0.982
"5628" -4373 0.996
"5629" -4372 0.865
"5630" -4371 0.949
"5631" -4370 0.826
"5632" -4369 0.8
"5633" -4368 0.989
"5634" -4367 0.939
"5635" -4366 0.957
"5636" -4365 0.899
"5637" -4364 0.993
"5638" -4363 0.998
"5639" -4362 0.999
"5640" -4361 0.946
"5641" -4360 0.913
"5642" -4359 0.727
"5643" -4358 0.944
"5644" -4357 0.999
"5645" -4356 0.984
"5646" -4355 0.948
"5647" -4354 0.966
"5648" -4353 1
"5649" -4352 0.983
"5650" -4351 0.835
"5651" -4350 0.983
"5652" -4349 0.886
"5653" -4348 1
"5654" -4347 0.998
"5655" -4346 0.948
"5656" -4345 0.858
"5657" -4344 0.998
"5658" -4343 0.895
"5659" -4342 0.955
"5660" -4341 0.855
"5661" -4340 0.998
"5662" -4339 0.972
"5663" -4338 0.992
"5664" -4337 1
"5665" -4336 1
"5666" -4335 0.707
"5667" -4334 0.953
"5668" -4333 0.987
"5669" -4332 1
"5670" -4331 0.923
"5671" -4330 1
"5672" -4329 0.388
"5673" -4328 0.975
"5674" -4327 0.979
"5675" -4326 0.945
"5676" -4325 0.999
"5677" -4324 0.968
"5678" -4323 0.91
"5679" -4322 0.989
"5680" -4321 0.936
"5681" -4320 0.996
"5682" -4319 0.998
"5683" -4318 0.986
"5684" -4317 0.982
"5685" -4316 0.999
"5686" -4315 0.997
"5687" -4314 1
"5688" -4313 0.983
"5689" -4312 0.923
"5690" -4311 0.984
"5691" -4310 0.977
"5692" -4309 0.997
"5693" -4308 0.996
"5694" -4307 0.9
"5695" -4306 0.991
"5696" -4305 0.993
"5697" -4304 0.994
"5698" -4303 0.962
"5699" -4302 0.847
"5700" -4301 0.829
"5701" -4300 0.999
"5702" -4299 0.962
"5703" -4298 0.96
"5704" -4297 0.998
"5705" -4296 0.912
"5706" -4295 1
"5707" -4294 0.966
"5708" -4293 1
"5709" -4292 0.875
"5710" -4291 0.963
"5711" -4290 0.944
"5712" -4289 0.997
"5713" -4288 0.821
"5714" -4287 0.959
"5715" -4286 0.995
"5716" -4285 0.988
"5717" -4284 0.911
"5718" -4283 0.806
"5719" -4282 0.918
"5720" -4281 0.924
"5721" -4280 0.962
"5722" -4279 0.894
"5723" -4278 0.95
"5724" -4277 0.939
"5725" -4276 0.994
"5726" -4275 0.935
"5727" -4274 0.961
"5728" -4273 0.997
"5729" -4272 0.511
"5730" -4271 0.977
"5731" -4270 0.857
"5732" -4269 0.811
"5733" -4268 0.997
"5734" -4267 0.999
"5735" -4266 0.891
"5736" -4265 0.971
"5737" -4264 1
"5738" -4263 0.999
"5739" -4262 0.973
"5740" -4261 0.968
"5741" -4260 0.975
"5742" -4259 0.92
"5743" -4258 0.989
"5744" -4257 0.982
"5745" -4256 1
"5746" -4255 0.995
"5747" -4254 0.99
"5748" -4253 0.993
"5749" -4252 0.994
"5750" -4251 0.997
"5751" -4250 0.993
"5752" -4249 0.568
"5753" -4248 0.921
"5754" -4247 0.858
"5755" -4246 0.988
"5756" -4245 0.8
"5757" -4244 0.988
"5758" -4243 0.996
"5759" -4242 1
"5760" -4241 0.999
"5761" -4240 0.996
"5762" -4239 0.971
"5763" -4238 0.996
"5764" -4237 0.999
"5765" -4236 0.98
"5766" -4235 0.696
"5767" -4234 0.991
"5768" -4233 0.946
"5769" -4232 0.956
"5770" -4231 0.962
"5771" -4230 0.999
"5772" -4229 0.998
"5773" -4228 0.999
"5774" -4227 0.881
"5775" -4226 1
"5776" -4225 0.67
"5777" -4224 1
"5778" -4223 0.601
"5779" -4222 0.974
"5780" -4221 0.967
"5781" -4220 0.959
"5782" -4219 0.998
"5783" -4218 0.998
"5784" -4217 0.994
"5785" -4216 0.924
"5786" -4215 0.975
"5787" -4214 0.99
"5788" -4213 0.98
"5789" -4212 0.998
"5790" -4211 0.993
"5791" -4210 0.938
"5792" -4209 0.925
"5793" -4208 0.981
"5794" -4207 0.962
"5795" -4206 1
"5796" -4205 0.998
"5797" -4204 0.995
"5798" -4203 0.816
"5799" -4202 0.994
"5800" -4201 0.888
"5801" -4200 1
"5802" -4199 0.994
"5803" -4198 0.841
"5804" -4197 0.998
"5805" -4196 0.952
"5806" -4195 0.997
"5807" -4194 0.911
"5808" -4193 0.572
"5809" -4192 0.949
"5810" -4191 0.98
"5811" -4190 0.923
"5812" -4189 1
"5813" -4188 0.967
"5814" -4187 0.997
"5815" -4186 0.997
"5816" -4185 0.994
"5817" -4184 0.948
"5818" -4183 0.973
"5819" -4182 0.982
"5820" -4181 0.978
"5821" -4180 0.807
"5822" -4179 0.99
"5823" -4178 0.981
"5824" -4177 0.999
"5825" -4176 0.946
"5826" -4175 0.921
"5827" -4174 0.95
"5828" -4173 0.998
"5829" -4172 0.784
"5830" -4171 1
"5831" -4170 0.926
"5832" -4169 0.991
"5833" -4168 0.933
"5834" -4167 0.907
"5835" -4166 0.997
"5836" -4165 0.975
"5837" -4164 0.997
"5838" -4163 0.665
"5839" -4162 0.994
"5840" -4161 0.966
"5841" -4160 0.996
"5842" -4159 0.979
"5843" -4158 0.833
"5844" -4157 0.995
"5845" -4156 0.882
"5846" -4155 0.999
"5847" -4154 0.998
"5848" -4153 0.854
"5849" -4152 0.99
"5850" -4151 0.984
"5851" -4150 1
"5852" -4149 0.809
"5853" -4148 0.995
"5854" -4147 0.965
"5855" -4146 0.938
"5856" -4145 0.993
"5857" -4144 0.774
"5858" -4143 0.996
"5859" -4142 0.995
"5860" -4141 1
"5861" -4140 0.998
"5862" -4139 0.982
"5863" -4138 1
"5864" -4137 0.961
"5865" -4136 0.987
"5866" -4135 0.995
"5867" -4134 0.962
"5868" -4133 0.981
"5869" -4132 0.962
"5870" -4131 0.916
"5871" -4130 0.998
"5872" -4129 0.991
"5873" -4128 0.998
"5874" -4127 0.952
"5875" -4126 0.946
"5876" -4125 0.715
"5877" -4124 0.995
"5878" -4123 1
"5879" -4122 0.737
"5880" -4121 0.712
"5881" -4120 0.982
"5882" -4119 0.595
"5883" -4118 0.989
"5884" -4117 1
"5885" -4116 0.985
"5886" -4115 0.973
"5887" -4114 0.978
"5888" -4113 0.986
"5889" -4112 0.997
"5890" -4111 1
"5891" -4110 0.793
"5892" -4109 0.726
"5893" -4108 0.885
"5894" -4107 0.813
"5895" -4106 0.553
"5896" -4105 0.997
"5897" -4104 1
"5898" -4103 0.996
"5899" -4102 0.972
"5900" -4101 0.87
"5901" -4100 0.999
"5902" -4099 0.916
"5903" -4098 0.988
"5904" -4097 0.996
"5905" -4096 1
"5906" -4095 0.951
"5907" -4094 0.998
"5908" -4093 0.987
"5909" -4092 0.962
"5910" -4091 0.732
"5911" -4090 0.674
"5912" -4089 0.341
"5913" -4088 0.844
"5914" -4087 0.994
"5915" -4086 1
"5916" -4085 0.998
"5917" -4084 0.996
"5918" -4083 0.995
"5919" -4082 0.766
"5920" -4081 0.899
"5921" -4080 0.95
"5922" -4079 0.908
"5923" -4078 0.941
"5924" -4077 1
"5925" -4076 0.967
"5926" -4075 0.852
"5927" -4074 0.744
"5928" -4073 0.866
"5929" -4072 0.933
"5930" -4071 0.993
"5931" -4070 0.897
"5932" -4069 0.994
"5933" -4068 0.99
"5934" -4067 0.952
"5935" -4066 0.992
"5936" -4065 0.97
"5937" -4064 0.941
"5938" -4063 0.993
"5939" -4062 1
"5940" -4061 0.879
"5941" -4060 0.993
"5942" -4059 0.722
"5943" -4058 0.988
"5944" -4057 0.964
"5945" -4056 0.917
"5946" -4055 0.989
"5947" -4054 0.849
"5948" -4053 0.705
"5949" -4052 0.988
"5950" -4051 0.947
"5951" -4050 0.916
"5952" -4049 0.977
"5953" -4048 1
"5954" -4047 0.974
"5955" -4046 0.999
"5956" -4045 0.999
"5957" -4044 0.999
"5958" -4043 0.998
"5959" -4042 0.901
"5960" -4041 0.994
"5961" -4040 0.744
"5962" -4039 0.926
"5963" -4038 0.876
"5964" -4037 0.985
"5965" -4036 0.615
"5966" -4035 0.981
"5967" -4034 0.975
"5968" -4033 0.795
"5969" -4032 0.995
"5970" -4031 0.949
"5971" -4030 0.998
"5972" -4029 0.951
"5973" -4028 1
"5974" -4027 0.992
"5975" -4026 0.856
"5976" -4025 0.694
"5977" -4024 0.903
"5978" -4023 0.995
"5979" -4022 0.506
"5980" -4021 0.979
"5981" -4020 0.927
"5982" -4019 0.999
"5983" -4018 0.629
"5984" -4017 0.949
"5985" -4016 0.856
"5986" -4015 0.934
"5987" -4014 0.99
"5988" -4013 0.988
"5989" -4012 0.989
"5990" -4011 0.794
"5991" -4010 0.972
"5992" -4009 0.925
"5993" -4008 0.827
"5994" -4007 0.973
"5995" -4006 0.636
"5996" -4005 0.979
"5997" -4004 1
"5998" -4003 0.997
"5999" -4002 0.928
"6000" -4001 0.955
"6001" -4000 0.958
"6002" -3999 0.993
"6003" -3998 0.974
"6004" -3997 0.9
"6005" -3996 0.846
"6006" -3995 0.865
"6007" -3994 0.971
"6008" -3993 1
"6009" -3992 0.974
"6010" -3991 0.503
"6011" -3990 0.974
"6012" -3989 0.99
"6013" -3988 0.993
"6014" -3987 0.998
"6015" -3986 0.821
"6016" -3985 0.957
"6017" -3984 0.618
"6018" -3983 1
"6019" -3982 0.952
"6020" -3981 0.915
"6021" -3980 0.962
"6022" -3979 0.766
"6023" -3978 0.912
"6024" -3977 0.993
"6025" -3976 0.995
"6026" -3975 0.498
"6027" -3974 0.997
"6028" -3973 0.331
"6029" -3972 0.982
"6030" -3971 1
"6031" -3970 0.745
"6032" -3969 0.952
"6033" -3968 0.913
"6034" -3967 0.977
"6035" -3966 0.961
"6036" -3965 0.982
"6037" -3964 0.953
"6038" -3963 0.732
"6039" -3962 0.831
"6040" -3961 0.996
"6041" -3960 0.997
"6042" -3959 0.869
"6043" -3958 0.986
"6044" -3957 0.996
"6045" -3956 0.929
"6046" -3955 1
"6047" -3954 0.974
"6048" -3953 0.924
"6049" -3952 0.996
"6050" -3951 0.989
"6051" -3950 0.871
"6052" -3949 0.889
"6053" -3948 0.989
"6054" -3947 0.859
"6055" -3946 0.959
"6056" -3945 0.824
"6057" -3944 0.907
"6058" -3943 0.927
"6059" -3942 0.95
"6060" -3941 1
"6061" -3940 0.992
"6062" -3939 0.985
"6063" -3938 0.954
"6064" -3937 0.851
"6065" -3936 0.962
"6066" -3935 0.719
"6067" -3934 0.963
"6068" -3933 0.748
"6069" -3932 0.977
"6070" -3931 0.915
"6071" -3930 0.973
"6072" -3929 0.996
"6073" -3928 0.865
"6074" -3927 0.811
"6075" -3926 1
"6076" -3925 0.721
"6077" -3924 0.892
"6078" -3923 0.996
"6079" -3922 0.956
"6080" -3921 0.995
"6081" -3920 0.876
"6082" -3919 0.835
"6083" -3918 0.715
"6084" -3917 0.971
"6085" -3916 0.997
"6086" -3915 0.974
"6087" -3914 0.901
"6088" -3913 0.995
"6089" -3912 0.954
"6090" -3911 0.998
"6091" -3910 0.967
"6092" -3909 1
"6093" -3908 0.995
"6094" -3907 0.948
"6095" -3906 0.886
"6096" -3905 0.995
"6097" -3904 0.997
"6098" -3903 0.86
"6099" -3902 0.97
"6100" -3901 0.93
"6101" -3900 0.848
"6102" -3899 0.993
"6103" -3898 0.987
"6104" -3897 0.73
"6105" -3896 0.345
"6106" -3895 0.979
"6107" -3894 0.999
"6108" -3893 0.951
"6109" -3892 0.876
"6110" -3891 0.818
"6111" -3890 0.997
"6112" -3889 0.982
"6113" -3888 0.532
"6114" -3887 1
"6115" -3886 1
"6116" -3885 0.981
"6117" -3884 0.997
"6118" -3883 0.726
"6119" -3882 0.992
"6120" -3881 0.951
"6121" -3880 0.984
"6122" -3879 0.973
"6123" -3878 0.997
"6124" -3877 0.559
"6125" -3876 0.984
"6126" -3875 0.999
"6127" -3874 0.99
"6128" -3873 0.993
"6129" -3872 0.484
"6130" -3871 0.995
"6131" -3870 0.668
"6132" -3869 0.941
"6133" -3868 0.921
"6134" -3867 0.927
"6135" -3866 1
"6136" -3865 0.996
"6137" -3864 0.984
"6138" -3863 0.996
"6139" -3862 0.944
"6140" -3861 0.997
"6141" -3860 0.823
"6142" -3859 0.988
"6143" -3858 0.954
"6144" -3857 0.976
"6145" -3856 0.932
"6146" -3855 0.546
"6147" -3854 0.561
"6148" -3853 0.692
"6149" -3852 0.993
"6150" -3851 0.963
"6151" -3850 0.994
"6152" -3849 1
"6153" -3848 0.998
"6154" -3847 0.991
"6155" -3846 0.977
"6156" -3845 0.997
"6157" -3844 0.998
"6158" -3843 0.887
"6159" -3842 0.977
"6160" -3841 0.999
"6161" -3840 0.991
"6162" -3839 0.854
"6163" -3838 0.837
"6164" -3837 0.866
"6165" -3836 0.912
"6166" -3835 0.998
"6167" -3834 0.99
"6168" -3833 0.773
"6169" -3832 0.988
"6170" -3831 0.936
"6171" -3830 0.983
"6172" -3829 0.998
"6173" -3828 0.761
"6174" -3827 1
"6175" -3826 0.903
"6176" -3825 1
"6177" -3824 0.813
"6178" -3823 0.994
"6179" -3822 0.958
"6180" -3821 0.953
"6181" -3820 1
"6182" -3819 0.813
"6183" -3818 0.879
"6184" -3817 0.998
"6185" -3816 0.997
"6186" -3815 0.988
"6187" -3814 0.974
"6188" -3813 0.986
"6189" -3812 0.825
"6190" -3811 0.987
"6191" -3810 0.988
"6192" -3809 0.656
"6193" -3808 0.873
"6194" -3807 0.965
"6195" -3806 0.994
"6196" -3805 0.998
"6197" -3804 0.968
"6198" -3803 0.856
"6199" -3802 0.954
"6200" -3801 0.953
"6201" -3800 0.956
"6202" -3799 1
"6203" -3798 0.953
"6204" -3797 0.994
"6205" -3796 0.998
"6206" -3795 0.821
"6207" -3794 0.995
"6208" -3793 0.995
"6209" -3792 0.997
"6210" -3791 0.98
"6211" -3790 0.33
"6212" -3789 1
"6213" -3788 0.879
"6214" -3787 0.975
"6215" -3786 0.989
"6216" -3785 0.979
"6217" -3784 0.97
"6218" -3783 0.963
"6219" -3782 1
"6220" -3781 0.987
"6221" -3780 0.585
"6222" -3779 0.977
"6223" -3778 0.997
"6224" -3777 0.996
"6225" -3776 0.998
"6226" -3775 0.956
"6227" -3774 0.984
"6228" -3773 0.982
"6229" -3772 0.965
"6230" -3771 0.98
"6231" -3770 0.987
"6232" -3769 0.995
"6233" -3768 0.806
"6234" -3767 0.874
"6235" -3766 0.996
"6236" -3765 0.864
"6237" -3764 0.824
"6238" -3763 0.972
"6239" -3762 0.869
"6240" -3761 0.999
"6241" -3760 0.992
"6242" -3759 0.832
"6243" -3758 0.957
"6244" -3757 0.913
"6245" -3756 0.999
"6246" -3755 0.999
"6247" -3754 1
"6248" -3753 0.786
"6249" -3752 0.981
"6250" -3751 0.997
"6251" -3750 0.975
"6252" -3749 0.996
"6253" -3748 0.977
"6254" -3747 0.803
"6255" -3746 0.41
"6256" -3745 0.866
"6257" -3744 1
"6258" -3743 0.675
"6259" -3742 0.979
"6260" -3741 0.654
"6261" -3740 0.999
"6262" -3739 0.951
"6263" -3738 0.938
"6264" -3737 0.999
"6265" -3736 0.985
"6266" -3735 0.986
"6267" -3734 0.882
"6268" -3733 0.981
"6269" -3732 0.969
"6270" -3731 0.998
"6271" -3730 0.993
"6272" -3729 0.922
"6273" -3728 0.996
"6274" -3727 0.835
"6275" -3726 0.745
"6276" -3725 0.915
"6277" -3724 0.998
"6278" -3723 0.972
"6279" -3722 0.964
"6280" -3721 0.99
"6281" -3720 0.989
"6282" -3719 0.965
"6283" -3718 0.897
"6284" -3717 0.999
"6285" -3716 0.999
"6286" -3715 0.999
"6287" -3714 0.759
"6288" -3713 1
"6289" -3712 0.886
"6290" -3711 0.981
"6291" -3710 0.969
"6292" -3709 0.925
"6293" -3708 0.999
"6294" -3707 0.875
"6295" -3706 0.984
"6296" -3705 0.991
"6297" -3704 0.987
"6298" -3703 0.799
"6299" -3702 0.967
"6300" -3701 1
"6301" -3700 0.999
"6302" -3699 0.996
"6303" -3698 1
"6304" -3697 0.973
"6305" -3696 0.883
"6306" -3695 0.994
"6307" -3694 0.985
"6308" -3693 0.998
"6309" -3692 1
"6310" -3691 0.949
"6311" -3690 0.994
"6312" -3689 0.795
"6313" -3688 0.957
"6314" -3687 0.977
"6315" -3686 0.992
"6316" -3685 0.887
"6317" -3684 0.976
"6318" -3683 0.993
"6319" -3682 0.999
"6320" -3681 0.968
"6321" -3680 0.935
"6322" -3679 0.988
"6323" -3678 0.963
"6324" -3677 0.567
"6325" -3676 0.974
"6326" -3675 0.837
"6327" -3674 0.906
"6328" -3673 0.961
"6329" -3672 0.964
"6330" -3671 0.998
"6331" -3670 0.84
"6332" -3669 0.997
"6333" -3668 0.922
"6334" -3667 0.994
"6335" -3666 0.902
"6336" -3665 0.975
"6337" -3664 0.908
"6338" -3663 0.999
"6339" -3662 0.834
"6340" -3661 0.867
"6341" -3660 0.98
"6342" -3659 0.993
"6343" -3658 1
"6344" -3657 0.784
"6345" -3656 0.993
"6346" -3655 0.967
"6347" -3654 0.901
"6348" -3653 0.931
"6349" -3652 0.997
"6350" -3651 0.991
"6351" -3650 0.873
"6352" -3649 0.962
"6353" -3648 0.822
"6354" -3647 0.967
"6355" -3646 0.999
"6356" -3645 0.997
"6357" -3644 0.819
"6358" -3643 0.78
"6359" -3642 1
"6360" -3641 0.88
"6361" -3640 0.818
"6362" -3639 1
"6363" -3638 0.826
"6364" -3637 1
"6365" -3636 0.998
"6366" -3635 0.934
"6367" -3634 0.95
"6368" -3633 0.999
"6369" -3632 0.972
"6370" -3631 0.98
"6371" -3630 1
"6372" -3629 1
"6373" -3628 0.999
"6374" -3627 0.999
"6375" -3626 0.954
"6376" -3625 1
"6377" -3624 0.837
"6378" -3623 0.987
"6379" -3622 0.985
"6380" -3621 0.983
"6381" -3620 0.976
"6382" -3619 1
"6383" -3618 0.992
