"mp"	"count"	"chromosome"	"dinucleotide"	"id"
16.1	434	"chr17"	"CpG"	"hg38"
16.1	414	"chr18"	"CpG"	"hg38"
16.1	324	"chr19"	"CpG"	"hg38"
16.1	1116	"chr2"	"CpG"	"hg38"
16.1	424	"chr20"	"CpG"	"hg38"
16.1	236	"chr21"	"CpG"	"hg38"
16.1	252	"chr22"	"CpG"	"hg38"
16.1	968	"chr3"	"CpG"	"hg38"
16.1	920	"chr4"	"CpG"	"hg38"
16.1	940	"chr5"	"CpG"	"hg38"
16.1	770	"chr6"	"CpG"	"hg38"
16.1	756	"chr7"	"CpG"	"hg38"
16.1	776	"chr8"	"CpG"	"hg38"
16.1	584	"chr9"	"CpG"	"hg38"
16.1	594	"chrX"	"CpG"	"hg38"
16.1	84	"chrY"	"CpG"	"hg38"
16.2	1188	"chr1"	"CpG"	"hg38"
16.2	726	"chr10"	"CpG"	"hg38"
16.2	780	"chr11"	"CpG"	"hg38"
16.2	596	"chr12"	"CpG"	"hg38"
16.2	508	"chr13"	"CpG"	"hg38"
16.2	448	"chr14"	"CpG"	"hg38"
16.2	442	"chr15"	"CpG"	"hg38"
16.2	486	"chr16"	"CpG"	"hg38"
16.2	394	"chr17"	"CpG"	"hg38"
16.2	398	"chr18"	"CpG"	"hg38"
16.2	344	"chr19"	"CpG"	"hg38"
16.2	1100	"chr2"	"CpG"	"hg38"
16.2	364	"chr20"	"CpG"	"hg38"
16.2	250	"chr21"	"CpG"	"hg38"
16.2	256	"chr22"	"CpG"	"hg38"
16.2	868	"chr3"	"CpG"	"hg38"
16.2	904	"chr4"	"CpG"	"hg38"
16.2	930	"chr5"	"CpG"	"hg38"
16.2	798	"chr6"	"CpG"	"hg38"
16.2	738	"chr7"	"CpG"	"hg38"
16.2	704	"chr8"	"CpG"	"hg38"
16.2	570	"chr9"	"CpG"	"hg38"
16.2	570	"chrX"	"CpG"	"hg38"
16.2	108	"chrY"	"CpG"	"hg38"
16.3	1190	"chr1"	"CpG"	"hg38"
16.3	696	"chr10"	"CpG"	"hg38"
16.3	696	"chr11"	"CpG"	"hg38"
16.3	604	"chr12"	"CpG"	"hg38"
16.3	566	"chr13"	"CpG"	"hg38"
16.3	464	"chr14"	"CpG"	"hg38"
16.3	418	"chr15"	"CpG"	"hg38"
16.3	486	"chr16"	"CpG"	"hg38"
16.3	452	"chr17"	"CpG"	"hg38"
16.3	412	"chr18"	"CpG"	"hg38"
16.3	316	"chr19"	"CpG"	"hg38"
16.3	1134	"chr2"	"CpG"	"hg38"
16.3	378	"chr20"	"CpG"	"hg38"
16.3	214	"chr21"	"CpG"	"hg38"
16.3	246	"chr22"	"CpG"	"hg38"
16.3	852	"chr3"	"CpG"	"hg38"
16.3	914	"chr4"	"CpG"	"hg38"
16.3	926	"chr5"	"CpG"	"hg38"
16.3	778	"chr6"	"CpG"	"hg38"
16.3	780	"chr7"	"CpG"	"hg38"
16.3	820	"chr8"	"CpG"	"hg38"
16.3	630	"chr9"	"CpG"	"hg38"
16.3	558	"chrX"	"CpG"	"hg38"
16.3	86	"chrY"	"CpG"	"hg38"
16.4	1080	"chr1"	"CpG"	"hg38"
16.4	670	"chr10"	"CpG"	"hg38"
16.4	724	"chr11"	"CpG"	"hg38"
16.4	676	"chr12"	"CpG"	"hg38"
16.4	500	"chr13"	"CpG"	"hg38"
16.4	492	"chr14"	"CpG"	"hg38"
16.4	432	"chr15"	"CpG"	"hg38"
16.4	478	"chr16"	"CpG"	"hg38"
16.4	388	"chr17"	"CpG"	"hg38"
16.4	412	"chr18"	"CpG"	"hg38"
16.4	312	"chr19"	"CpG"	"hg38"
16.4	1084	"chr2"	"CpG"	"hg38"
16.4	374	"chr20"	"CpG"	"hg38"
16.4	260	"chr21"	"CpG"	"hg38"
16.4	200	"chr22"	"CpG"	"hg38"
16.4	918	"chr3"	"CpG"	"hg38"
16.4	1006	"chr4"	"CpG"	"hg38"
16.4	854	"chr5"	"CpG"	"hg38"
16.4	784	"chr6"	"CpG"	"hg38"
16.4	860	"chr7"	"CpG"	"hg38"
16.4	744	"chr8"	"CpG"	"hg38"
16.4	570	"chr9"	"CpG"	"hg38"
16.4	568	"chrX"	"CpG"	"hg38"
16.4	108	"chrY"	"CpG"	"hg38"
16.5	1168	"chr1"	"CpG"	"hg38"
16.5	630	"chr10"	"CpG"	"hg38"
16.5	780	"chr11"	"CpG"	"hg38"
16.5	626	"chr12"	"CpG"	"hg38"
16.5	504	"chr13"	"CpG"	"hg38"
16.5	468	"chr14"	"CpG"	"hg38"
16.5	476	"chr15"	"CpG"	"hg38"
16.5	540	"chr16"	"CpG"	"hg38"
16.5	436	"chr17"	"CpG"	"hg38"
16.5	404	"chr18"	"CpG"	"hg38"
16.5	356	"chr19"	"CpG"	"hg38"
16.5	1172	"chr2"	"CpG"	"hg38"
16.5	348	"chr20"	"CpG"	"hg38"
16.5	226	"chr21"	"CpG"	"hg38"
16.5	224	"chr22"	"CpG"	"hg38"
16.5	864	"chr3"	"CpG"	"hg38"
16.5	932	"chr4"	"CpG"	"hg38"
16.5	792	"chr5"	"CpG"	"hg38"
16.5	798	"chr6"	"CpG"	"hg38"
16.5	810	"chr7"	"CpG"	"hg38"
16.5	712	"chr8"	"CpG"	"hg38"
16.5	578	"chr9"	"CpG"	"hg38"
16.5	546	"chrX"	"CpG"	"hg38"
16.5	82	"chrY"	"CpG"	"hg38"
16.6	1134	"chr1"	"CpG"	"hg38"
16.6	714	"chr10"	"CpG"	"hg38"
16.6	736	"chr11"	"CpG"	"hg38"
16.6	574	"chr12"	"CpG"	"hg38"
16.6	538	"chr13"	"CpG"	"hg38"
16.6	530	"chr14"	"CpG"	"hg38"
16.6	436	"chr15"	"CpG"	"hg38"
16.6	472	"chr16"	"CpG"	"hg38"
16.6	408	"chr17"	"CpG"	"hg38"
16.6	434	"chr18"	"CpG"	"hg38"
16.6	330	"chr19"	"CpG"	"hg38"
16.6	1170	"chr2"	"CpG"	"hg38"
16.6	364	"chr20"	"CpG"	"hg38"
16.6	242	"chr21"	"CpG"	"hg38"
16.6	248	"chr22"	"CpG"	"hg38"
16.6	860	"chr3"	"CpG"	"hg38"
16.6	838	"chr4"	"CpG"	"hg38"
16.6	874	"chr5"	"CpG"	"hg38"
16.6	742	"chr6"	"CpG"	"hg38"
16.6	768	"chr7"	"CpG"	"hg38"
16.6	696	"chr8"	"CpG"	"hg38"
16.6	544	"chr9"	"CpG"	"hg38"
16.6	560	"chrX"	"CpG"	"hg38"
16.6	106	"chrY"	"CpG"	"hg38"
16.7	1184	"chr1"	"CpG"	"hg38"
16.7	702	"chr10"	"CpG"	"hg38"
16.7	690	"chr11"	"CpG"	"hg38"
16.7	626	"chr12"	"CpG"	"hg38"
16.7	534	"chr13"	"CpG"	"hg38"
16.7	448	"chr14"	"CpG"	"hg38"
16.7	378	"chr15"	"CpG"	"hg38"
16.7	466	"chr16"	"CpG"	"hg38"
16.7	464	"chr17"	"CpG"	"hg38"
16.7	428	"chr18"	"CpG"	"hg38"
16.7	334	"chr19"	"CpG"	"hg38"
16.7	1114	"chr2"	"CpG"	"hg38"
16.7	402	"chr20"	"CpG"	"hg38"
16.7	240	"chr21"	"CpG"	"hg38"
16.7	216	"chr22"	"CpG"	"hg38"
16.7	964	"chr3"	"CpG"	"hg38"
16.7	934	"chr4"	"CpG"	"hg38"
16.7	872	"chr5"	"CpG"	"hg38"
16.7	804	"chr6"	"CpG"	"hg38"
16.7	708	"chr7"	"CpG"	"hg38"
16.7	820	"chr8"	"CpG"	"hg38"
16.7	572	"chr9"	"CpG"	"hg38"
16.7	600	"chrX"	"CpG"	"hg38"
16.7	100	"chrY"	"CpG"	"hg38"
16.8	1178	"chr1"	"CpG"	"hg38"
16.8	672	"chr10"	"CpG"	"hg38"
16.8	730	"chr11"	"CpG"	"hg38"
16.8	584	"chr12"	"CpG"	"hg38"
16.8	488	"chr13"	"CpG"	"hg38"
16.8	472	"chr14"	"CpG"	"hg38"
16.8	442	"chr15"	"CpG"	"hg38"
16.8	512	"chr16"	"CpG"	"hg38"
16.8	416	"chr17"	"CpG"	"hg38"
16.8	412	"chr18"	"CpG"	"hg38"
16.8	338	"chr19"	"CpG"	"hg38"
16.8	1150	"chr2"	"CpG"	"hg38"
16.8	420	"chr20"	"CpG"	"hg38"
16.8	228	"chr21"	"CpG"	"hg38"
16.8	234	"chr22"	"CpG"	"hg38"
16.8	842	"chr3"	"CpG"	"hg38"
16.8	942	"chr4"	"CpG"	"hg38"
16.8	874	"chr5"	"CpG"	"hg38"
16.8	732	"chr6"	"CpG"	"hg38"
16.8	804	"chr7"	"CpG"	"hg38"
16.8	778	"chr8"	"CpG"	"hg38"
16.8	602	"chr9"	"CpG"	"hg38"
16.8	592	"chrX"	"CpG"	"hg38"
16.8	86	"chrY"	"CpG"	"hg38"
16.9	1122	"chr1"	"CpG"	"hg38"
16.9	700	"chr10"	"CpG"	"hg38"
16.9	678	"chr11"	"CpG"	"hg38"
16.9	562	"chr12"	"CpG"	"hg38"
16.9	458	"chr13"	"CpG"	"hg38"
16.9	438	"chr14"	"CpG"	"hg38"
16.9	428	"chr15"	"CpG"	"hg38"
16.9	464	"chr16"	"CpG"	"hg38"
16.9	440	"chr17"	"CpG"	"hg38"
16.9	448	"chr18"	"CpG"	"hg38"
16.9	314	"chr19"	"CpG"	"hg38"
16.9	1086	"chr2"	"CpG"	"hg38"
16.9	394	"chr20"	"CpG"	"hg38"
16.9	210	"chr21"	"CpG"	"hg38"
16.9	178	"chr22"	"CpG"	"hg38"
16.9	926	"chr3"	"CpG"	"hg38"
16.9	1008	"chr4"	"CpG"	"hg38"
16.9	892	"chr5"	"CpG"	"hg38"
16.9	722	"chr6"	"CpG"	"hg38"
16.9	740	"chr7"	"CpG"	"hg38"
16.9	700	"chr8"	"CpG"	"hg38"
16.9	602	"chr9"	"CpG"	"hg38"
16.9	600	"chrX"	"CpG"	"hg38"
16.9	94	"chrY"	"CpG"	"hg38"
17	1088	"chr1"	"CpG"	"hg38"
17	642	"chr10"	"CpG"	"hg38"
17	694	"chr11"	"CpG"	"hg38"
17	606	"chr12"	"CpG"	"hg38"
17	530	"chr13"	"CpG"	"hg38"
17	430	"chr14"	"CpG"	"hg38"
17	400	"chr15"	"CpG"	"hg38"
17	388	"chr16"	"CpG"	"hg38"
17	366	"chr17"	"CpG"	"hg38"
17	408	"chr18"	"CpG"	"hg38"
17	344	"chr19"	"CpG"	"hg38"
17	1074	"chr2"	"CpG"	"hg38"
17	404	"chr20"	"CpG"	"hg38"
17	218	"chr21"	"CpG"	"hg38"
17	228	"chr22"	"CpG"	"hg38"
17	868	"chr3"	"CpG"	"hg38"
17	956	"chr4"	"CpG"	"hg38"
17	880	"chr5"	"CpG"	"hg38"
17	754	"chr6"	"CpG"	"hg38"
17	770	"chr7"	"CpG"	"hg38"
17	748	"chr8"	"CpG"	"hg38"
17	622	"chr9"	"CpG"	"hg38"
17	576	"chrX"	"CpG"	"hg38"
17	84	"chrY"	"CpG"	"hg38"
17.1	1158	"chr1"	"CpG"	"hg38"
17.1	718	"chr10"	"CpG"	"hg38"
17.1	608	"chr11"	"CpG"	"hg38"
17.1	640	"chr12"	"CpG"	"hg38"
17.1	458	"chr13"	"CpG"	"hg38"
17.1	430	"chr14"	"CpG"	"hg38"
17.1	408	"chr15"	"CpG"	"hg38"
17.1	478	"chr16"	"CpG"	"hg38"
17.1	438	"chr17"	"CpG"	"hg38"
17.1	346	"chr18"	"CpG"	"hg38"
17.1	330	"chr19"	"CpG"	"hg38"
17.1	1080	"chr2"	"CpG"	"hg38"
17.1	376	"chr20"	"CpG"	"hg38"
17.1	228	"chr21"	"CpG"	"hg38"
17.1	236	"chr22"	"CpG"	"hg38"
17.1	884	"chr3"	"CpG"	"hg38"
17.1	872	"chr4"	"CpG"	"hg38"
17.1	916	"chr5"	"CpG"	"hg38"
17.1	736	"chr6"	"CpG"	"hg38"
17.1	730	"chr7"	"CpG"	"hg38"
17.1	714	"chr8"	"CpG"	"hg38"
17.1	560	"chr9"	"CpG"	"hg38"
17.1	566	"chrX"	"CpG"	"hg38"
17.1	94	"chrY"	"CpG"	"hg38"
17.2	1142	"chr1"	"CpG"	"hg38"
17.2	648	"chr10"	"CpG"	"hg38"
17.2	598	"chr11"	"CpG"	"hg38"
17.2	594	"chr12"	"CpG"	"hg38"
17.2	486	"chr13"	"CpG"	"hg38"
17.2	406	"chr14"	"CpG"	"hg38"
17.2	476	"chr15"	"CpG"	"hg38"
17.2	460	"chr16"	"CpG"	"hg38"
17.2	432	"chr17"	"CpG"	"hg38"
17.2	430	"chr18"	"CpG"	"hg38"
17.2	326	"chr19"	"CpG"	"hg38"
17.2	1128	"chr2"	"CpG"	"hg38"
17.2	420	"chr20"	"CpG"	"hg38"
17.2	248	"chr21"	"CpG"	"hg38"
17.2	228	"chr22"	"CpG"	"hg38"
17.2	812	"chr3"	"CpG"	"hg38"
17.2	870	"chr4"	"CpG"	"hg38"
17.2	964	"chr5"	"CpG"	"hg38"
17.2	742	"chr6"	"CpG"	"hg38"
17.2	774	"chr7"	"CpG"	"hg38"
17.2	642	"chr8"	"CpG"	"hg38"
17.2	582	"chr9"	"CpG"	"hg38"
17.2	526	"chrX"	"CpG"	"hg38"
17.2	118	"chrY"	"CpG"	"hg38"
17.3	1064	"chr1"	"CpG"	"hg38"
17.3	684	"chr10"	"CpG"	"hg38"
17.3	682	"chr11"	"CpG"	"hg38"
17.3	612	"chr12"	"CpG"	"hg38"
17.3	536	"chr13"	"CpG"	"hg38"
17.3	388	"chr14"	"CpG"	"hg38"
17.3	370	"chr15"	"CpG"	"hg38"
17.3	464	"chr16"	"CpG"	"hg38"
17.3	452	"chr17"	"CpG"	"hg38"
17.3	428	"chr18"	"CpG"	"hg38"
17.3	314	"chr19"	"CpG"	"hg38"
17.3	1130	"chr2"	"CpG"	"hg38"
17.3	374	"chr20"	"CpG"	"hg38"
17.3	236	"chr21"	"CpG"	"hg38"
17.3	196	"chr22"	"CpG"	"hg38"
17.3	864	"chr3"	"CpG"	"hg38"
17.3	942	"chr4"	"CpG"	"hg38"
17.3	948	"chr5"	"CpG"	"hg38"
17.3	774	"chr6"	"CpG"	"hg38"
17.3	784	"chr7"	"CpG"	"hg38"
17.3	728	"chr8"	"CpG"	"hg38"
17.3	598	"chr9"	"CpG"	"hg38"
17.3	572	"chrX"	"CpG"	"hg38"
17.3	90	"chrY"	"CpG"	"hg38"
17.4	1072	"chr1"	"CpG"	"hg38"
17.4	710	"chr10"	"CpG"	"hg38"
17.4	678	"chr11"	"CpG"	"hg38"
17.4	596	"chr12"	"CpG"	"hg38"
17.4	506	"chr13"	"CpG"	"hg38"
17.4	432	"chr14"	"CpG"	"hg38"
17.4	398	"chr15"	"CpG"	"hg38"
17.4	474	"chr16"	"CpG"	"hg38"
17.4	388	"chr17"	"CpG"	"hg38"
17.4	406	"chr18"	"CpG"	"hg38"
17.4	330	"chr19"	"CpG"	"hg38"
17.4	1078	"chr2"	"CpG"	"hg38"
17.4	344	"chr20"	"CpG"	"hg38"
17.4	206	"chr21"	"CpG"	"hg38"
17.4	194	"chr22"	"CpG"	"hg38"
17.4	878	"chr3"	"CpG"	"hg38"
17.4	878	"chr4"	"CpG"	"hg38"
17.4	866	"chr5"	"CpG"	"hg38"
17.4	766	"chr6"	"CpG"	"hg38"
17.4	780	"chr7"	"CpG"	"hg38"
17.4	780	"chr8"	"CpG"	"hg38"
17.4	532	"chr9"	"CpG"	"hg38"
17.4	598	"chrX"	"CpG"	"hg38"
17.4	110	"chrY"	"CpG"	"hg38"
17.5	1120	"chr1"	"CpG"	"hg38"
17.5	714	"chr10"	"CpG"	"hg38"
17.5	686	"chr11"	"CpG"	"hg38"
17.5	538	"chr12"	"CpG"	"hg38"
17.5	482	"chr13"	"CpG"	"hg38"
17.5	418	"chr14"	"CpG"	"hg38"
17.5	420	"chr15"	"CpG"	"hg38"
17.5	452	"chr16"	"CpG"	"hg38"
17.5	418	"chr17"	"CpG"	"hg38"
17.5	380	"chr18"	"CpG"	"hg38"
17.5	316	"chr19"	"CpG"	"hg38"
17.5	1156	"chr2"	"CpG"	"hg38"
17.5	374	"chr20"	"CpG"	"hg38"
17.5	236	"chr21"	"CpG"	"hg38"
17.5	268	"chr22"	"CpG"	"hg38"
17.5	908	"chr3"	"CpG"	"hg38"
17.5	836	"chr4"	"CpG"	"hg38"
17.5	872	"chr5"	"CpG"	"hg38"
17.5	764	"chr6"	"CpG"	"hg38"
17.5	756	"chr7"	"CpG"	"hg38"
17.5	732	"chr8"	"CpG"	"hg38"
17.5	600	"chr9"	"CpG"	"hg38"
17.5	546	"chrX"	"CpG"	"hg38"
17.5	138	"chrY"	"CpG"	"hg38"
17.6	1078	"chr1"	"CpG"	"hg38"
17.6	642	"chr10"	"CpG"	"hg38"
17.6	654	"chr11"	"CpG"	"hg38"
17.6	598	"chr12"	"CpG"	"hg38"
17.6	448	"chr13"	"CpG"	"hg38"
17.6	510	"chr14"	"CpG"	"hg38"
17.6	408	"chr15"	"CpG"	"hg38"
17.6	482	"chr16"	"CpG"	"hg38"
17.6	466	"chr17"	"CpG"	"hg38"
17.6	376	"chr18"	"CpG"	"hg38"
17.6	316	"chr19"	"CpG"	"hg38"
17.6	1048	"chr2"	"CpG"	"hg38"
17.6	408	"chr20"	"CpG"	"hg38"
17.6	230	"chr21"	"CpG"	"hg38"
17.6	236	"chr22"	"CpG"	"hg38"
17.6	862	"chr3"	"CpG"	"hg38"
17.6	952	"chr4"	"CpG"	"hg38"
17.6	780	"chr5"	"CpG"	"hg38"
17.6	694	"chr6"	"CpG"	"hg38"
17.6	766	"chr7"	"CpG"	"hg38"
17.6	782	"chr8"	"CpG"	"hg38"
17.6	634	"chr9"	"CpG"	"hg38"
17.6	522	"chrX"	"CpG"	"hg38"
17.6	104	"chrY"	"CpG"	"hg38"
17.7	1104	"chr1"	"CpG"	"hg38"
17.7	672	"chr10"	"CpG"	"hg38"
17.7	644	"chr11"	"CpG"	"hg38"
17.7	604	"chr12"	"CpG"	"hg38"
17.7	526	"chr13"	"CpG"	"hg38"
17.7	394	"chr14"	"CpG"	"hg38"
17.7	414	"chr15"	"CpG"	"hg38"
17.7	492	"chr16"	"CpG"	"hg38"
17.7	414	"chr17"	"CpG"	"hg38"
17.7	390	"chr18"	"CpG"	"hg38"
17.7	318	"chr19"	"CpG"	"hg38"
17.7	1114	"chr2"	"CpG"	"hg38"
17.7	328	"chr20"	"CpG"	"hg38"
17.7	232	"chr21"	"CpG"	"hg38"
17.7	246	"chr22"	"CpG"	"hg38"
17.7	856	"chr3"	"CpG"	"hg38"
17.7	906	"chr4"	"CpG"	"hg38"
17.7	898	"chr5"	"CpG"	"hg38"
17.7	712	"chr6"	"CpG"	"hg38"
17.7	740	"chr7"	"CpG"	"hg38"
17.7	802	"chr8"	"CpG"	"hg38"
17.7	558	"chr9"	"CpG"	"hg38"
17.7	554	"chrX"	"CpG"	"hg38"
17.7	90	"chrY"	"CpG"	"hg38"
17.8	1014	"chr1"	"CpG"	"hg38"
17.8	602	"chr10"	"CpG"	"hg38"
17.8	650	"chr11"	"CpG"	"hg38"
17.8	588	"chr12"	"CpG"	"hg38"
17.8	556	"chr13"	"CpG"	"hg38"
17.8	488	"chr14"	"CpG"	"hg38"
17.8	474	"chr15"	"CpG"	"hg38"
17.8	540	"chr16"	"CpG"	"hg38"
17.8	440	"chr17"	"CpG"	"hg38"
17.8	408	"chr18"	"CpG"	"hg38"
17.8	306	"chr19"	"CpG"	"hg38"
17.8	1140	"chr2"	"CpG"	"hg38"
17.8	358	"chr20"	"CpG"	"hg38"
17.8	228	"chr21"	"CpG"	"hg38"
17.8	236	"chr22"	"CpG"	"hg38"
17.8	892	"chr3"	"CpG"	"hg38"
17.8	854	"chr4"	"CpG"	"hg38"
17.8	848	"chr5"	"CpG"	"hg38"
17.8	746	"chr6"	"CpG"	"hg38"
17.8	784	"chr7"	"CpG"	"hg38"
17.8	716	"chr8"	"CpG"	"hg38"
17.8	552	"chr9"	"CpG"	"hg38"
17.8	580	"chrX"	"CpG"	"hg38"
17.8	80	"chrY"	"CpG"	"hg38"
17.9	1032	"chr1"	"CpG"	"hg38"
17.9	690	"chr10"	"CpG"	"hg38"
17.9	690	"chr11"	"CpG"	"hg38"
17.9	616	"chr12"	"CpG"	"hg38"
17.9	538	"chr13"	"CpG"	"hg38"
17.9	434	"chr14"	"CpG"	"hg38"
17.9	386	"chr15"	"CpG"	"hg38"
17.9	426	"chr16"	"CpG"	"hg38"
17.9	432	"chr17"	"CpG"	"hg38"
17.9	378	"chr18"	"CpG"	"hg38"
17.9	308	"chr19"	"CpG"	"hg38"
17.9	1054	"chr2"	"CpG"	"hg38"
17.9	406	"chr20"	"CpG"	"hg38"
17.9	192	"chr21"	"CpG"	"hg38"
17.9	208	"chr22"	"CpG"	"hg38"
17.9	812	"chr3"	"CpG"	"hg38"
17.9	906	"chr4"	"CpG"	"hg38"
17.9	816	"chr5"	"CpG"	"hg38"
17.9	770	"chr6"	"CpG"	"hg38"
17.9	770	"chr7"	"CpG"	"hg38"
17.9	708	"chr8"	"CpG"	"hg38"
17.9	606	"chr9"	"CpG"	"hg38"
17.9	516	"chrX"	"CpG"	"hg38"
17.9	106	"chrY"	"CpG"	"hg38"
18	1034	"chr1"	"CpG"	"hg38"
18	630	"chr10"	"CpG"	"hg38"
18	666	"chr11"	"CpG"	"hg38"
18	568	"chr12"	"CpG"	"hg38"
18	420	"chr13"	"CpG"	"hg38"
18	450	"chr14"	"CpG"	"hg38"
18	454	"chr15"	"CpG"	"hg38"
18	438	"chr16"	"CpG"	"hg38"
18	408	"chr17"	"CpG"	"hg38"
18	398	"chr18"	"CpG"	"hg38"
18	328	"chr19"	"CpG"	"hg38"
18	1156	"chr2"	"CpG"	"hg38"
18	388	"chr20"	"CpG"	"hg38"
18	232	"chr21"	"CpG"	"hg38"
18	212	"chr22"	"CpG"	"hg38"
18	820	"chr3"	"CpG"	"hg38"
18	864	"chr4"	"CpG"	"hg38"
18	818	"chr5"	"CpG"	"hg38"
18	664	"chr6"	"CpG"	"hg38"
18	732	"chr7"	"CpG"	"hg38"
18	738	"chr8"	"CpG"	"hg38"
18	576	"chr9"	"CpG"	"hg38"
18	550	"chrX"	"CpG"	"hg38"
18	104	"chrY"	"CpG"	"hg38"
18.1	1052	"chr1"	"CpG"	"hg38"
18.1	622	"chr10"	"CpG"	"hg38"
18.1	682	"chr11"	"CpG"	"hg38"
18.1	630	"chr12"	"CpG"	"hg38"
18.1	496	"chr13"	"CpG"	"hg38"
18.1	420	"chr14"	"CpG"	"hg38"
18.1	456	"chr15"	"CpG"	"hg38"
18.1	474	"chr16"	"CpG"	"hg38"
18.1	366	"chr17"	"CpG"	"hg38"
18.1	386	"chr18"	"CpG"	"hg38"
18.1	344	"chr19"	"CpG"	"hg38"
18.1	1064	"chr2"	"CpG"	"hg38"
18.1	378	"chr20"	"CpG"	"hg38"
18.1	246	"chr21"	"CpG"	"hg38"
18.1	218	"chr22"	"CpG"	"hg38"
18.1	892	"chr3"	"CpG"	"hg38"
18.1	898	"chr4"	"CpG"	"hg38"
18.1	812	"chr5"	"CpG"	"hg38"
18.1	698	"chr6"	"CpG"	"hg38"
18.1	696	"chr7"	"CpG"	"hg38"
18.1	708	"chr8"	"CpG"	"hg38"
18.1	558	"chr9"	"CpG"	"hg38"
18.1	626	"chrX"	"CpG"	"hg38"
18.1	96	"chrY"	"CpG"	"hg38"
18.2	1100	"chr1"	"CpG"	"hg38"
18.2	640	"chr10"	"CpG"	"hg38"
18.2	746	"chr11"	"CpG"	"hg38"
18.2	664	"chr12"	"CpG"	"hg38"
18.2	454	"chr13"	"CpG"	"hg38"
18.2	488	"chr14"	"CpG"	"hg38"
18.2	380	"chr15"	"CpG"	"hg38"
18.2	458	"chr16"	"CpG"	"hg38"
18.2	426	"chr17"	"CpG"	"hg38"
18.2	350	"chr18"	"CpG"	"hg38"
18.2	330	"chr19"	"CpG"	"hg38"
18.2	1092	"chr2"	"CpG"	"hg38"
18.2	378	"chr20"	"CpG"	"hg38"
18.2	200	"chr21"	"CpG"	"hg38"
18.2	244	"chr22"	"CpG"	"hg38"
18.2	994	"chr3"	"CpG"	"hg38"
18.2	932	"chr4"	"CpG"	"hg38"
18.2	770	"chr5"	"CpG"	"hg38"
18.2	708	"chr6"	"CpG"	"hg38"
18.2	730	"chr7"	"CpG"	"hg38"
18.2	732	"chr8"	"CpG"	"hg38"
18.2	500	"chr9"	"CpG"	"hg38"
18.2	538	"chrX"	"CpG"	"hg38"
18.2	92	"chrY"	"CpG"	"hg38"
18.3	990	"chr1"	"CpG"	"hg38"
18.3	706	"chr10"	"CpG"	"hg38"
18.3	712	"chr11"	"CpG"	"hg38"
18.3	588	"chr12"	"CpG"	"hg38"
18.3	498	"chr13"	"CpG"	"hg38"
18.3	396	"chr14"	"CpG"	"hg38"
18.3	406	"chr15"	"CpG"	"hg38"
18.3	400	"chr16"	"CpG"	"hg38"
18.3	444	"chr17"	"CpG"	"hg38"
18.3	388	"chr18"	"CpG"	"hg38"
18.3	306	"chr19"	"CpG"	"hg38"
18.3	1028	"chr2"	"CpG"	"hg38"
18.3	374	"chr20"	"CpG"	"hg38"
18.3	240	"chr21"	"CpG"	"hg38"
18.3	210	"chr22"	"CpG"	"hg38"
18.3	868	"chr3"	"CpG"	"hg38"
18.3	836	"chr4"	"CpG"	"hg38"
18.3	836	"chr5"	"CpG"	"hg38"
18.3	736	"chr6"	"CpG"	"hg38"
18.3	774	"chr7"	"CpG"	"hg38"
18.3	708	"chr8"	"CpG"	"hg38"
18.3	558	"chr9"	"CpG"	"hg38"
18.3	544	"chrX"	"CpG"	"hg38"
18.3	100	"chrY"	"CpG"	"hg38"
18.4	1030	"chr1"	"CpG"	"hg38"
18.4	638	"chr10"	"CpG"	"hg38"
18.4	620	"chr11"	"CpG"	"hg38"
18.4	606	"chr12"	"CpG"	"hg38"
18.4	462	"chr13"	"CpG"	"hg38"
18.4	388	"chr14"	"CpG"	"hg38"
18.4	414	"chr15"	"CpG"	"hg38"
18.4	472	"chr16"	"CpG"	"hg38"
18.4	434	"chr17"	"CpG"	"hg38"
18.4	418	"chr18"	"CpG"	"hg38"
18.4	320	"chr19"	"CpG"	"hg38"
18.4	1100	"chr2"	"CpG"	"hg38"
18.4	338	"chr20"	"CpG"	"hg38"
18.4	218	"chr21"	"CpG"	"hg38"
18.4	212	"chr22"	"CpG"	"hg38"
18.4	856	"chr3"	"CpG"	"hg38"
18.4	886	"chr4"	"CpG"	"hg38"
18.4	890	"chr5"	"CpG"	"hg38"
18.4	724	"chr6"	"CpG"	"hg38"
18.4	714	"chr7"	"CpG"	"hg38"
18.4	760	"chr8"	"CpG"	"hg38"
18.4	580	"chr9"	"CpG"	"hg38"
18.4	576	"chrX"	"CpG"	"hg38"
18.4	90	"chrY"	"CpG"	"hg38"
18.5	1022	"chr1"	"CpG"	"hg38"
18.5	644	"chr10"	"CpG"	"hg38"
18.5	684	"chr11"	"CpG"	"hg38"
18.5	602	"chr12"	"CpG"	"hg38"
18.5	492	"chr13"	"CpG"	"hg38"
18.5	418	"chr14"	"CpG"	"hg38"
18.5	364	"chr15"	"CpG"	"hg38"
18.5	442	"chr16"	"CpG"	"hg38"
18.5	376	"chr17"	"CpG"	"hg38"
18.5	430	"chr18"	"CpG"	"hg38"
18.5	308	"chr19"	"CpG"	"hg38"
18.5	1114	"chr2"	"CpG"	"hg38"
18.5	382	"chr20"	"CpG"	"hg38"
18.5	214	"chr21"	"CpG"	"hg38"
18.5	248	"chr22"	"CpG"	"hg38"
18.5	784	"chr3"	"CpG"	"hg38"
