"Chromosome"	"Start"	"End"	"MP"
"chr11"	66864686	66864687	54.4
"chr2"	58175584	58175585	89.1
"chr16"	57429770	57429771	92.9
"chr1"	228510345	228510346	88.9
"chrY"	14024417	14024418	81
"chr10"	74881160	74881161	95.7
"chr15"	100237123	100237124	39.7
"chr8"	29061728	29061729	97
"chr3"	162725740	162725741	92.7
"chr9"	38686160	38686161	88.6
"chr2"	234497321	234497322	2.8
"chr1"	103381860	103381861	57.4
"chr8"	11769509	11769510	2.8
"chr10"	7615963	7615964	86
"chr4"	49530966	49530967	43.5
"chr7"	66607014	66607015	87.8
"chr1"	15603711	15603712	4.3
"chr17"	24048537	24048538	94.5
"chr21"	21645655	21645656	18.1
"chr8"	126833831	126833832	94
"chr2"	70121822	70121823	63.7
"chr1"	23743403	23743404	3.4
"chr8"	140511332	140511333	3.4
"chr21"	27258872	27258873	85
"chr3"	20533787	20533788	38.4
"chr14"	39172682	39172683	96
"chr9"	95125229	95125230	95.1
"chr16"	86515576	86515577	19.4
"chr1"	85747173	85747174	75.4
"chr11"	2515553	2515554	85
"chr6"	66009589	66009590	6.5
"chr21"	45527868	45527869	83.7
"chr20"	48059028	48059029	68
"chr1"	77930387	77930388	52.5
"chr1"	150925623	150925624	96.6
"chr2"	196308009	196308010	96.2
"chr11"	59198275	59198276	72.6
"chr13"	52911095	52911096	73.4
"chr2"	152733553	152733554	96.6
"chr17"	70896855	70896856	82.8
"chr2"	80925898	80925899	4.6
"chr1"	205509986	205509987	74.5
"chr1"	26960196	26960197	3.5
"chr9"	66269855	66269856	3.7
"chr6"	44206873	44206874	94.9
"chr15"	100904450	100904451	95.7
"chr19"	43360027	43360028	73.4
"chr1"	214608617	214608618	95.9
"chr9"	7085271	7085272	96.9
"chr1"	2428019	2428020	95.6
"chr2"	218994173	218994174	3.2
"chr9"	131640312	131640313	95.1
"chr6"	84854591	84854592	15.5
"chr13"	96592238	96592239	73.9
"chr1"	148428931	148428932	78.4
"chr17"	79519509	79519510	5.9
"chr16"	32241327	32241328	95.6
"chr7"	101989991	101989992	29.3
"chr9"	27308007	27308008	73.4
"chr8"	12003484	12003485	15.7
"chr7"	122779729	122779730	3.9
"chr15"	38783002	38783003	97
"chr22"	38701213	38701214	3.6
"chr4"	116403200	116403201	92.5
"chr2"	72149481	72149482	4.4
"chr13"	94307500	94307501	37.6
"chr4"	122110145	122110146	96.3
"chr19"	2076950	2076951	96.2
"chr7"	5018402	5018403	95.4
"chr1"	6953556	6953557	45
"chr5"	55820114	55820115	93.4
"chr14"	64549853	64549854	4
"chr8"	6145031	6145032	36.2
"chrX"	110366793	110366794	96.6
"chr2"	223656005	223656006	61
"chr8"	26152465	26152466	60.6
"chr11"	64008357	64008358	92.2
"chr17"	57823702	57823703	95.7
"chr8"	95173004	95173005	96.5
"chr3"	81665483	81665484	96.4
"chr22"	16410975	16410976	42.4
"chr19"	11322078	11322079	5.7
"chr1"	49587564	49587565	86.8
"chr14"	56871236	56871237	96.6
"chr3"	52246736	52246737	64.2
"chr6"	41600608	41600609	90.3
"chr14"	33885238	33885239	50.5
"chr6"	22957312	22957313	95.6
"chr5"	178405240	178405241	51
"chrX"	53359045	53359046	95.4
"chr10"	128397834	128397835	48.8
"chr19"	23852684	23852685	93
"chr6"	86268440	86268441	90.8
"chr3"	89968690	89968691	96.6
"chr8"	55966429	55966430	93
"chr3"	75065540	75065541	94.6
"chr10"	132715180	132715181	49.1
"chr8"	1320535	1320536	83.6
"chr6"	135594766	135594767	86.9
"chr8"	2002282	2002283	3.6
"chr9"	92449212	92449213	96
"chr15"	50941879	50941880	95.8
"chr16"	66924361	66924362	94.8
"chr9"	43338467	43338468	94.4
"chr5"	178055009	178055010	96.9
"chr2"	28569761	28569762	90.8
"chr3"	194910909	194910910	93.6
"chr13"	73977202	73977203	96.4
"chr5"	71479104	71479105	94.7
"chr11"	4771460	4771461	65.2
"chr17"	17770973	17770974	95.7
"chr11"	39268758	39268759	5.7
"chr5"	140688472	140688473	97.1
"chr12"	131801906	131801907	95.7
"chr7"	36683849	36683850	95.2
"chr17"	41127244	41127245	94.6
"chr6"	93867803	93867804	51.6
"chr5"	142262124	142262125	44.5
"chr8"	15076341	15076342	10.3
"chr1"	91905932	91905933	95
"chr11"	7578972	7578973	91.3
"chr10"	86262986	86262987	3.4
"chr2"	181890888	181890889	96.9
"chr5"	130596556	130596557	96.7
"chr4"	33906583	33906584	48.6
"chr7"	158629458	158629459	95.6
"chr15"	95810102	95810103	62.6
"chr1"	25162185	25162186	20.5
"chr7"	130003909	130003910	95.4
"chr10"	11395347	11395348	55.3
"chr4"	144008935	144008936	96.6
"chr11"	81661379	81661380	83.6
"chr19"	9149395	9149396	96.1
"chr6"	170611448	170611449	94.5
"chr18"	19552010	19552011	76.2
"chr8"	66613016	66613017	3.3
"chr1"	46768915	46768916	54.3
"chr3"	191147695	191147696	96.7
"chr2"	5513539	5513540	64.6
"chr9"	115059663	115059664	95.1
"chr3"	47688774	47688775	95.4
"chr2"	9260171	9260172	74.7
"chr1"	3755211	3755212	84.6
"chr12"	69056137	69056138	57.2
"chr5"	80309638	80309639	96.6
"chr4"	36310935	36310936	3.2
"chrX"	144147506	144147507	78.1
"chr16"	89800751	89800752	96.7
"chr2"	140578704	140578705	65.9
"chr19"	636653	636654	71.5
"chr3"	196644697	196644698	93.7
"chr10"	126656643	126656644	95.4
"chr5"	172592872	172592873	65.4
"chr1"	181758026	181758027	97.2
"chr19"	18116321	18116322	96.3
"chr16"	1551906	1551907	95.2
"chrY"	8886937	8886938	95.8
"chr22"	44717685	44717686	95.3
"chr19"	55166052	55166053	3.4
"chr1"	226226903	226226904	88.3
"chrX"	47633647	47633648	94.8
"chr5"	66941750	66941751	94.3
"chr1"	23825860	23825861	3.4
"chr5"	141742785	141742786	2.9
"chr12"	125261989	125261990	88.2
"chr10"	123543306	123543307	59.4
"chrY"	6727320	6727321	95.8
"chrX"	45632582	45632583	96.9
"chr21"	26076878	26076879	86.4
"chr12"	30317783	30317784	13.3
"chr13"	68766706	68766707	88.4
"chr7"	132629780	132629781	36.1
"chr5"	59445128	59445129	45.4
"chr9"	95380461	95380462	96.5
"chrX"	49234978	49234979	76.8
"chr1"	145425374	145425375	3.2
"chr17"	19470878	19470879	93.3
"chr13"	31973787	31973788	96.3
"chr12"	116271645	116271646	45.2
"chr11"	115767218	115767219	74
"chr17"	11690802	11690803	95.9
"chr1"	46324118	46324119	95.3
"chr11"	98336503	98336504	77.5
"chr7"	109772926	109772927	37.2
"chr18"	28178071	28178072	3.6
"chr19"	37272544	37272545	66.6
"chr17"	49026803	49026804	97
"chr8"	14968897	14968898	26.6
"chr8"	101141790	101141791	72.8
"chr9"	129651181	129651182	83.9
"chr2"	202026373	202026374	68.1
"chr3"	69408811	69408812	70.5
"chr5"	136457185	136457186	73.2
"chr4"	7986831	7986832	46.1
"chr22"	16032755	16032756	37.4
"chr18"	30547663	30547664	93.2
"chr1"	245697995	245697996	93.8
"chr3"	115683143	115683144	89.4
"chr5"	34476726	34476727	58.8
"chr3"	184354556	184354557	16.3
"chr4"	18826675	18826676	50.1
"chr16"	75735936	75735937	33.4
"chr20"	35087144	35087145	96.4
"chr2"	29229607	29229608	84.2
"chr8"	20260465	20260466	68.4
"chr6"	136366479	136366480	94
"chr17"	31578269	31578270	97.6
"chr17"	7336156	7336157	58
"chr11"	14717836	14717837	95.3
"chr5"	147872939	147872940	96
"chr22"	44257077	44257078	95.2
"chr5"	16085670	16085671	96.7
"chr13"	92036019	92036020	6.2
"chrX"	123448648	123448649	92.7
"chr11"	64939813	64939814	60.5
"chr1"	96729778	96729779	96.1
"chr5"	66751573	66751574	96.2
"chr10"	126927731	126927732	94.1
"chr3"	101578731	101578732	95
"chr1"	75027323	75027324	96.4
"chr5"	26352429	26352430	96.7
"chrX"	42842662	42842663	56.5
"chr1"	243732408	243732409	73.5
"chr10"	13702290	13702291	93
"chr8"	100167759	100167760	38.3
"chr2"	87012590	87012591	95
"chr9"	85875391	85875392	96.5
"chr3"	14669333	14669334	96.8
"chr1"	59702211	59702212	89.9
"chr2"	57677076	57677077	30.6
"chr11"	59538845	59538846	91
"chr17"	38063931	38063932	91.4
"chr7"	6320081	6320082	83.9
"chr7"	67027999	67028000	96.7
"chr5"	52766633	52766634	93.9
"chrX"	130171920	130171921	30.3
"chr5"	168044230	168044231	90.8
"chr10"	78052063	78052064	91.7
"chr7"	46353288	46353289	93.7
"chr3"	79130287	79130288	23.6
"chr4"	28529300	28529301	8
"chr19"	14175775	14175776	72.9
"chr5"	2206313	2206314	96.6
"chr1"	26697313	26697314	3.5
"chr6"	101709729	101709730	96.7
"chr14"	95346718	95346719	65.3
"chr10"	6125799	6125800	95.9
"chr9"	131550729	131550730	96.4
"chr16"	34357857	34357858	57
"chr18"	8245246	8245247	96.5
"chr4"	92944464	92944465	67.9
"chr16"	82449144	82449145	95
"chr5"	98319425	98319426	39.8
"chr5"	138492438	138492439	4.3
"chr8"	58936122	58936123	96.9
"chr6"	160066249	160066250	95.6
"chr2"	239348061	239348062	53.1
"chr6"	163396191	163396192	90.9
"chr20"	54252203	54252204	95.4
"chr10"	107439376	107439377	86.8
"chr1"	52027408	52027409	93.1
"chr2"	208254305	208254306	3.9
"chr9"	133262150	133262151	90.3
"chr2"	209366810	209366811	79.8
"chr4"	181228817	181228818	88.1
"chr10"	131781488	131781489	58.4
"chr6"	95996366	95996367	20.4
"chr9"	118522097	118522098	68.7
"chr11"	116710455	116710456	15.3
"chr5"	1090787	1090788	91
"chr18"	49492195	49492196	3.3
"chr16"	48259597	48259598	84.6
"chr8"	108506078	108506079	96.2
"chr16"	36474704	36474705	74.4
"chr1"	242581189	242581190	59.7
"chr18"	19170817	19170818	53.1
"chr3"	2072748	2072749	3.6
"chrY"	23344221	23344222	45.3
"chr17"	63176736	63176737	96
"chr3"	71860025	71860026	94
"chr3"	60309924	60309925	87.7
"chr4"	1012059	1012060	2.8
"chr8"	11059476	11059477	3.6
"chr1"	93614060	93614061	85.9
"chr12"	36268819	36268820	3.6
"chr1"	197930472	197930473	10.8
"chr10"	60731845	60731846	5
"chr1"	237993314	237993315	94.4
"chr5"	37432544	37432545	96.2
"chr12"	80831253	80831254	11
"chr6"	90314058	90314059	93.1
"chr10"	79013813	79013814	83.7
"chr13"	33680368	33680369	96.1
"chr7"	140903000	140903001	69.1
"chr12"	76930444	76930445	10.3
"chr10"	14838979	14838980	4.4
"chr2"	69341921	69341922	95.3
"chr15"	76388502	76388503	94.9
"chr9"	100391258	100391259	96
"chr16"	34241535	34241536	95.7
"chrX"	133985352	133985353	7.5
"chr1"	214277559	214277560	13.4
"chr20"	4664716	4664717	96.2
"chrX"	44805618	44805619	56.8
"chr17"	12909994	12909995	61.4
"chr3"	112959149	112959150	3.3
"chr7"	52821010	52821011	39.4
"chr4"	98653098	98653099	96.5
"chr7"	27422711	27422712	96.3
"chr2"	31339937	31339938	57.3
"chr22"	39045376	39045377	96.4
"chr2"	193015455	193015456	94.5
"chr16"	78360922	78360923	87.6
"chr15"	50055046	50055047	69.1
"chr1"	148280920	148280921	3.5
"chr5"	30371702	30371703	94.5
"chr17"	9560375	9560376	96.5
"chr18"	2131002	2131003	96.4
"chr6"	78091879	78091880	85.6
"chr8"	108185008	108185009	80
"chr18"	74851099	74851100	94.6
"chr4"	49176167	49176168	47
"chr19"	13298290	13298291	97
"chr1"	147624455	147624456	96.4
"chr12"	99132443	99132444	52.8
"chr20"	20330032	20330033	94.8
"chr4"	164508223	164508224	2.9
"chr18"	74227047	74227048	69
"chr9"	123272867	123272868	96.2
"chrX"	39320917	39320918	96.5
"chr1"	118180073	118180074	95.4
"chr15"	96450197	96450198	64.4
"chr10"	80486223	80486224	47.8
"chr2"	136804266	136804267	45.7
"chr9"	124285933	124285934	38
"chr22"	40991118	40991119	45.5
"chr2"	229851098	229851099	96.3
"chr17"	56253462	56253463	92.1
"chr5"	139544411	139544412	94.9
"chr8"	123048361	123048362	96.1
"chr13"	19089428	19089429	57.4
"chr14"	52476518	52476519	83.8
"chr17"	76140986	76140987	5.4
"chr5"	126809664	126809665	96.9
"chr10"	28939986	28939987	93.6
"chr8"	11200823	11200824	3.4
"chr1"	88630095	88630096	95.5
"chr7"	11186216	11186217	95.2
"chr3"	120761820	120761821	79.3
"chr2"	43762144	43762145	88
"chr5"	174460271	174460272	60.1
"chr4"	94397799	94397800	70.3
"chr20"	61946117	61946118	95.6
"chr2"	131428767	131428768	38.8
"chr22"	39114049	39114050	55.9
"chr1"	50421521	50421522	2.8
"chr15"	23284454	23284455	91.6
"chr17"	8109330	8109331	96.2
"chr21"	33061747	33061748	55.5
"chrX"	93587894	93587895	70.6
"chr16"	81688493	81688494	95.4
"chr1"	28951578	28951579	10.1
"chr22"	49508079	49508080	81.9
"chr3"	47622468	47622469	95.7
"chr1"	21783227	21783228	2.6
"chr1"	96224482	96224483	97
"chr5"	31072580	31072581	4.5
"chr3"	165756139	165756140	4.8
"chr11"	111718054	111718055	42
"chr13"	33874613	33874614	96.4
"chr16"	1261311	1261312	34.2
"chr18"	3234626	3234627	68
"chr4"	63831394	63831395	3.7
"chr7"	116871938	116871939	94.8
"chr6"	74764841	74764842	51
"chrX"	20672708	20672709	41.9
"chr7"	62402307	62402308	87.6
"chr2"	122912170	122912171	4.6
"chr1"	223143227	223143228	2.7
"chr2"	170521137	170521138	96.8
"chr9"	93024760	93024761	92.5
"chr2"	28393624	28393625	7.7
"chr5"	173734335	173734336	3
"chr17"	12715062	12715063	34.2
"chr7"	149588163	149588164	96.8
"chr1"	9788727	9788728	95.9
"chr10"	113265602	113265603	50.6
"chr7"	65057234	65057235	96.2
"chr17"	35489408	35489409	90.6
"chr7"	13758950	13758951	33.2
"chr13"	109311825	109311826	96
"chrX"	140377378	140377379	95.9
"chr15"	41141970	41141971	95.9
"chr2"	178106883	178106884	93.5
"chr16"	29293943	29293944	96.4
"chr19"	55946008	55946009	39.4
"chrX"	80216459	80216460	7.5
"chr4"	139725910	139725911	87.1
"chr9"	126730793	126730794	38.7
"chr19"	22765889	22765890	68.2
"chr3"	173044079	173044080	90.8
"chr6"	73096968	73096969	97.2
"chr12"	125284612	125284613	25.1
"chr15"	25468779	25468780	83.2
"chr5"	57601587	57601588	62.5
"chrX"	129104542	129104543	94.4
"chr18"	60086427	60086428	63.6
"chr5"	149349873	149349874	94.4
"chr1"	181708237	181708238	94.7
"chr6"	57753768	57753769	95.9
"chr15"	56243675	56243676	4.2
"chr21"	23119340	23119341	30
"chr3"	51499465	51499466	3.1
"chr2"	85814374	85814375	2.8
"chr11"	99550013	99550014	48.6
"chr10"	26120184	26120185	53.2
"chr12"	82031823	82031824	53.6
"chr2"	114328695	114328696	79.7
"chr4"	35843517	35843518	64.7
"chr10"	1493843	1493844	95.7
"chr20"	45577522	45577523	95.5
"chr9"	137188688	137188689	3
"chr3"	67059370	67059371	96.5
"chr18"	55566198	55566199	65.8
"chr17"	41221690	41221691	58.6
"chr9"	136423053	136423054	96.6
"chr17"	51166372	51166373	3
"chr16"	85055853	85055854	4.7
"chr1"	225824712	225824713	91.1
"chr13"	111948155	111948156	4.6
"chr1"	145754578	145754579	96.4
"chr2"	54708841	54708842	4.1
"chr11"	116858371	116858372	96.6
"chr5"	120676897	120676898	70.4
"chr1"	37224806	37224807	90.4
"chr12"	32418153	32418154	95.9
"chr17"	72681622	72681623	96
"chr4"	107071098	107071099	43.5
"chr2"	220911774	220911775	19.8
"chr21"	45502856	45502857	23.5
"chr21"	6831205	6831206	61.6
"chr1"	20532873	20532874	45.5
"chr11"	47741739	47741740	96.7
"chr3"	55772516	55772517	87
"chr8"	16822863	16822864	60.6
"chr17"	80950339	80950340	95.8
"chr22"	24166287	24166288	97.3
"chr11"	17353527	17353528	3.7
"chr16"	84230296	84230297	94.8
"chr10"	132817205	132817206	95.9
"chr3"	139909574	139909575	30.2
"chr21"	29859266	29859267	39.1
"chr2"	218360071	218360072	93.2
"chr1"	81245642	81245643	93.8
"chr3"	32106466	32106467	3
"chr19"	16705423	16705424	92.5
"chr7"	82735752	82735753	64.5
"chr11"	47931396	47931397	96.2
"chr12"	109575075	109575076	95
"chr5"	142698146	142698147	90.9
"chr22"	45039969	45039970	88.6
"chrX"	6128723	6128724	88
"chr13"	98021053	98021054	96.9
"chr22"	15563936	15563937	69.6
"chr14"	38350320	38350321	7.3
"chr18"	79627548	79627549	95.7
"chr1"	231426813	231426814	33.6
"chr13"	24353539	24353540	76.4
"chr19"	58380915	58380916	3.1
"chr8"	72118442	72118443	96.4
"chr10"	11664554	11664555	9.2
"chr14"	78173472	78173473	84.7
"chr18"	75040935	75040936	93.2
"chr1"	110674960	110674961	2.9
"chr17"	2511650	2511651	3.7
"chr12"	48018737	48018738	70.3
"chr5"	423944	423945	93
"chr15"	64297421	64297422	96.6
"chr1"	121020734	121020735	14.6
"chr13"	77647402	77647403	92.6
"chr14"	91405478	91405479	95.9
"chrX"	141076503	141076504	50.8
"chr10"	83142834	83142835	66.8
"chr16"	32937444	32937445	95.2
"chr7"	15933812	15933813	39.4
"chr11"	68127264	68127265	95.7
"chr4"	75017239	75017240	95.4
"chr20"	36065170	36065171	3.5
"chr10"	123183996	123183997	92
"chr18"	14154901	14154902	95.5
"chr5"	70511954	70511955	95.2
"chr10"	57500609	57500610	95.8
"chr17"	15355051	15355052	95.7
"chr6"	16636297	16636298	25.4
"chr5"	113683074	113683075	54.3
"chrX"	72839085	72839086	93.8
"chr12"	122048144	122048145	96
"chr8"	134547117	134547118	96.5
"chr8"	120984636	120984637	92.9
"chr4"	56496858	56496859	96.5
"chr11"	29599832	29599833	95.5
"chr8"	799407	799408	96.9
"chr9"	137387788	137387789	71.9
"chr22"	44082087	44082088	96.1
"chr15"	31002921	31002922	96.5
"chr21"	36825660	36825661	93.7
"chr2"	9555914	9555915	3.2
"chr10"	27405505	27405506	94.6
"chr2"	49744034	49744035	8
"chrX"	149748407	149748408	70.3
"chr7"	72336962	72336963	3.6
"chr13"	103332827	103332828	46.1
"chr4"	147537504	147537505	90.6
"chr16"	37051784	37051785	57.6
"chr10"	133422645	133422646	97.2
"chr2"	8727377	8727378	92.3
"chr3"	196391527	196391528	96.7
"chr7"	83057429	83057430	63.8
"chr13"	24048299	24048300	88.7
"chr1"	200012838	200012839	96.2
"chr17"	78806634	78806635	13
"chr7"	5648675	5648676	93
"chr19"	1669579	1669580	3.4
"chr22"	48702824	48702825	2.5
"chr5"	94528102	94528103	94.9
"chr19"	55196887	55196888	95.9
"chr5"	141703229	141703230	4.4
"chr1"	30940070	30940071	95.6
"chr6"	108364218	108364219	96.5
"chr16"	88779329	88779330	96.3
"chr12"	89311062	89311063	96.3
"chr6"	80824544	80824545	4.9
"chr16"	26944361	26944362	62.8
"chr7"	44927312	44927313	86.8
"chr5"	56606933	56606934	85.1
"chr18"	28538575	28538576	15.7
"chr13"	87211539	87211540	73.6
"chr6"	98965243	98965244	93.4
"chr6"	101794500	101794501	95.9
"chr20"	23362388	23362389	3.7
"chr15"	57305619	57305620	96.3
"chr5"	81823072	81823073	96.3
"chr5"	139561197	139561198	3.3
"chr3"	37552945	37552946	96.4
"chr1"	211976282	211976283	95.8
"chr6"	5727104	5727105	24
"chr4"	37168826	37168827	3.2
"chr3"	57227227	57227228	3.1
"chr1"	183568848	183568849	77.5
"chr1"	3221288	3221289	95.3
"chr7"	130802842	130802843	74.4
"chr3"	150389209	150389210	63.6
"chr19"	43570656	43570657	87.4
"chr12"	106741763	106741764	79.1
"chr19"	2800844	2800845	95.2
"chr7"	155160143	155160144	67.9
"chr3"	1261887	1261888	62.6
"chr12"	22945732	22945733	63.9
"chr2"	187673280	187673281	87.4
"chr2"	131997475	131997476	7.4
"chr4"	1025743	1025744	78.4
"chr7"	66723601	66723602	96.4
"chr20"	51369008	51369009	30.1
"chr8"	132673541	132673542	76.9
"chr2"	59067226	59067227	96.9
"chr15"	101158652	101158653	97
"chr7"	99286464	99286465	3.2
"chr10"	12812571	12812572	96.7
"chr6"	103573941	103573942	93.5
"chr12"	26939246	26939247	3.9
"chrX"	126505492	126505493	18.4
"chr16"	64368176	64368177	43.2
"chr2"	2116057	2116058	96
"chr10"	20774884	20774885	59.2
"chr3"	193880559	193880560	95.2
"chr1"	71065095	71065096	97
"chr6"	33576400	33576401	96
"chr4"	6626977	6626978	95.5
"chr17"	45128007	45128008	96.7
"chrX"	105318261	105318262	96.9
"chr1"	69824547	69824548	86.1
"chr9"	88038121	88038122	90.6
"chr14"	94644156	94644157	87
"chrX"	156018630	156018631	40.2
"chr1"	194229995	194229996	81.1
"chr14"	97281920	97281921	83.5
"chr2"	213589875	213589876	97.6
"chr9"	32378658	32378659	6.4
"chr1"	5808198	5808199	62.8
"chr7"	156147324	156147325	61.8
"chr1"	89379714	89379715	7.2
"chr5"	147487165	147487166	38
"chr4"	124002157	124002158	55.4
"chr5"	166200838	166200839	88.5
"chr16"	22389276	22389277	94.5
"chr10"	27948494	27948495	36.7
"chr3"	78971647	78971648	10.1
"chr19"	22717127	22717128	88
"chr7"	63088866	63088867	90.5
"chr19"	1421092	1421093	96.4
"chr3"	193316863	193316864	8.6
"chr20"	26208427	26208428	21.5
"chrX"	17867943	17867944	94.9
"chr20"	19527779	19527780	36.6
"chr22"	46989409	46989410	95.1
"chr22"	25605804	25605805	54.1
"chr4"	128746934	128746935	97
"chr9"	117853139	117853140	96.8
"chr8"	104367678	104367679	95.8
"chr12"	129982366	129982367	84
"chr17"	76804313	76804314	50.1
"chr20"	37737137	37737138	95.9
"chr7"	48828314	48828315	96
"chr4"	175704343	175704344	92.4
"chr11"	30586492	30586493	3.7
"chr8"	27963291	27963292	95.8
"chr21"	13763136	13763137	95.6
"chr10"	7858832	7858833	95.9
"chr19"	8197904	8197905	95.7
"chr1"	171900630	171900631	75
"chr19"	20769825	20769826	93.5
"chr3"	58219472	58219473	94.5
"chr5"	55959486	55959487	63.8
"chr13"	90973769	90973770	58.2
"chr9"	31584615	31584616	12.1
"chr3"	8172868	8172869	52.5
"chr5"	176115001	176115002	52.9
"chr2"	71136406	71136407	94.5
"chrX"	77884879	77884880	95.9
"chr7"	5190376	5190377	4.6
"chr2"	122278697	122278698	96.1
"chr13"	95870447	95870448	93.7
"chr1"	203315839	203315840	96.4
"chr11"	77943041	77943042	95.9
"chr12"	116711978	116711979	97.5
"chr4"	122687321	122687322	94.6
"chr19"	45827724	45827725	96.9
"chr18"	66338596	66338597	4.6
"chr8"	17344524	17344525	88.9
"chr19"	45385648	45385649	3.2
"chr10"	11823983	11823984	3.6
"chr1"	8291227	8291228	96.8
"chr3"	124861646	124861647	94.5
"chr4"	179689526	179689527	96.4
"chr1"	62233384	62233385	11.8
"chr22"	35401475	35401476	74.1
"chr15"	83519767	83519768	23.9
"chr8"	76391477	76391478	11.1
"chr1"	144077766	144077767	3.6
"chr10"	92599553	92599554	95.8
"chr8"	56983022	56983023	96.5
"chr20"	23084937	23084938	95.5
"chr1"	123591687	123591688	11.9
"chr4"	144572985	144572986	95
"chr2"	145992772	145992773	94.6
"chrX"	137003880	137003881	95.2
"chr13"	85206429	85206430	77
"chr1"	9059227	9059228	96.4
"chr10"	64912787	64912788	95.8
"chr17"	3045366	3045367	88.8
"chr1"	202592002	202592003	96.2
"chr11"	62453008	62453009	95.7
"chr7"	141089211	141089212	2.2
"chr19"	42323808	42323809	47.8
"chr1"	37081535	37081536	96.5
"chrX"	20207960	20207961	33.1
"chr11"	50197337	50197338	15.4
"chr18"	76424673	76424674	96.4
"chr8"	128158363	128158364	97.2
"chr3"	125040068	125040069	91.8
"chrY"	16151203	16151204	10.9
"chr17"	76423313	76423314	96.6
"chr7"	48346478	48346479	43.7
"chr6"	168540334	168540335	97
"chr5"	2525067	2525068	78.1
"chr19"	54877547	54877548	56.4
"chr12"	82532491	82532492	92.5
"chr9"	126533085	126533086	63.3
"chr18"	55781616	55781617	90.8
"chr9"	130701790	130701791	96
"chr4"	190076687	190076688	60.5
"chr4"	25503403	25503404	54
"chr2"	164744674	164744675	71.8
"chr22"	48309493	48309494	94.2
"chr3"	164682783	164682784	95.4
"chr14"	57405911	57405912	96.1
"chr3"	28635857	28635858	26.8
"chr2"	187973447	187973448	84.6
"chr4"	6665561	6665562	97.2
"chr4"	32688170	32688171	63.2
"chr2"	237540925	237540926	45.4
"chr19"	751184	751185	68.7
"chr7"	70070855	70070856	94.4
"chr3"	13282993	13282994	3.5
"chr15"	80779264	80779265	4.5
"chr1"	241500206	241500207	78.6
"chr11"	66849356	66849357	96.4
"chr1"	205171381	205171382	88.5
"chr18"	16523084	16523085	72.8
"chr1"	99828360	99828361	91.3
"chr8"	9815899	9815900	60.2
"chr10"	130022728	130022729	64.7
"chr10"	77978950	77978951	96.7
"chr2"	25673644	25673645	3.3
"chrX"	56722304	56722305	95.4
"chr2"	71327713	71327714	84.3
"chr17"	60168764	60168765	96.6
"chr15"	29197492	29197493	95.6
"chr3"	168932679	168932680	84.2
"chr14"	69341822	69341823	68.6
"chr1"	45817954	45817955	53.7
"chr13"	98576596	98576597	10.2
"chr18"	75078075	75078076	9.1
"chr6"	112331467	112331468	33.9
"chr6"	41650824	41650825	52.4
"chr10"	74640607	74640608	87.5
"chr10"	2471553	2471554	29.1
"chr6"	156599402	156599403	92.8
"chr10"	53652823	53652824	90.7
"chr12"	81496296	81496297	13.6
"chr12"	105271795	105271796	94.1
"chr15"	57619523	57619524	79.5
"chr12"	124294502	124294503	34.8
"chr9"	14343343	14343344	35.9
"chr2"	108015644	108015645	85.9
"chr1"	94150727	94150728	96.2
"chr5"	130819112	130819113	60.3
"chr16"	30605817	30605818	96
"chr15"	75426119	75426120	82.3
"chr19"	47436771	47436772	2.8
"chr2"	201893993	201893994	95.7
"chr13"	25085581	25085582	95.8
"chr3"	66458561	66458562	95.9
"chr3"	138280742	138280743	97.4
"chr4"	148894050	148894051	41.3
"chr1"	167161215	167161216	86.9
"chr12"	70929517	70929518	91.1
"chr16"	71795973	71795974	54.8
"chr1"	236754139	236754140	75
"chr7"	44563757	44563758	95.6
"chr5"	123550286	123550287	96
"chr9"	116188058	116188059	50
"chr20"	50601958	50601959	75.2
"chr19"	22648029	22648030	90.1
"chr1"	54662087	54662088	86
"chr12"	19278825	19278826	96.1
"chr1"	201688330	201688331	65.3
"chr1"	237192952	237192953	90.8
"chr5"	2864556	2864557	5.5
"chr4"	130798721	130798722	19.9
"chr8"	4727082	4727083	95.3
"chr10"	86665490	86665491	78.9
"chrX"	22478032	22478033	93.7
"chr10"	18080993	18080994	94.1
"chr12"	24185873	24185874	90.8
"chr6"	24216535	24216536	32.4
"chr7"	23532307	23532308	3.9
"chr9"	128339119	128339120	96.5
"chr12"	32619499	32619500	91.9
"chr13"	83881066	83881067	3.9
"chr5"	179147236	179147237	71.2
"chr18"	6683821	6683822	73
"chr4"	7588253	7588254	85
"chr5"	87065006	87065007	94.8
"chr4"	55998365	55998366	97
"chr11"	117614280	117614281	69
"chr16"	21915866	21915867	92.9
"chr5"	172770501	172770502	3.8
"chr10"	109133867	109133868	42.7
"chr2"	156342390	156342391	2.6
"chr5"	93143425	93143426	11.3
"chr8"	139318771	139318772	62.3
"chrX"	96928487	96928488	90.9
"chr7"	100884405	100884406	95.4
"chrX"	74211469	74211470	81.9
"chr5"	147782566	147782567	2.8
"chr11"	12227243	12227244	87.7
"chr11"	74508872	74508873	41.7
"chr4"	58779332	58779333	93.5
"chr18"	12583268	12583269	92.9
"chr3"	121585040	121585041	67.6
"chr21"	34874933	34874934	3.3
"chr12"	78033565	78033566	90.7
"chr20"	615308	615309	56.7
"chr4"	140426921	140426922	57
"chr11"	105850741	105850742	54.8
